"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"07/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","326","","",""
"07/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","236","","",""
"07/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","225","","",""
"07/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","203","","",""
"07/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","164","","",""
"07/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","152","","",""
"07/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","150","","",""
"07/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","115","","",""
"07/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","114","","",""
"07/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","106","","",""
"07/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","81","","",""
"07/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","76","","",""
"07/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1744.28"
"07/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1265.61"
"07/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1205.46"
"07/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1087.66"
"07/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$877.15"
"07/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$814.49"
"07/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$804.48"
"07/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$619.02"
"07/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$614.00"
"07/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$571.40"
"07/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$436.07"
"07/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$408.50"
"07/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","231","","",""
"07/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","269","","",""
"07/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","231","$4.716","$0.07","$1089.33"
"07/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","370","","",""
"07/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","269","$4.716","$0.08","$1268.52"
"07/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","171","","",""
"07/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","370","$4.716","$0.11","$1744.81"
"07/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","186","","",""
"07/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","171","$4.716","$0.05","$806.39"
"07/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","186","$4.716","$0.06","$877.12"
"07/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","256","","",""
"07/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","173","","",""
"07/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","256","$4.716","$0.07","$1207.23"
"07/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","132","","",""
"07/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","173","$4.716","$0.05","$815.82"
"07/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","131","","",""
"07/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","132","$4.716","$0.04","$622.47"
"07/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","93","","",""
"07/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","131","$4.716","$0.04","$617.76"
"07/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","122","","",""
"07/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","93","$4.716","$0.03","$438.56"
"07/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","87","","",""
"07/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","122","$4.716","$0.03","$575.32"
"07/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","87","$4.716","$0.03","$410.26"
"06/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","312","","",""
"06/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","227","","",""
"06/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","216","","",""
"06/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","195","","",""
"06/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","157","","",""
"06/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","145","","",""
"06/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","144","","",""
"06/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","111","","",""
"06/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","110","","",""
"06/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","102","","",""
"06/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","78","","",""
"06/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","73","","",""
"06/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$2092.40"
"06/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1521.19"
"06/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1446.04"
"06/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1304.73"
"06/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1052.22"
"06/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$974.05"
"06/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$968.04"
"06/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$742.56"
"06/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$736.54"
"06/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$685.45"
