Date,Service description,Service ID,List cost ($),Negotiated savings ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($)
2026-06-01,Gemini API,AEFD-7695-64FA,48.11,0.00,0.00,0.00,48.109555,48.11
2026-06-01,App Engine,F17B-412E-CB64,2.36,0.00,0.00,0.00,2.364437,2.36
2026-06-01,Cloud Run,152E-C115-5142,3.75,0.00,0.00,-2.18,1.561518,1.56
2026-06-01,Cloud Memorystore for Redis,5AF5-2C11-D467,1.25,0.00,0.00,0.00,1.252166,1.25
2026-06-01,Artifact Registry,149C-F9EC-3994,0.95,0.00,0.00,0.00,0.951575,0.95
2026-06-01,Cloud Build,8B5D-EF7D-EB12,0.00,0.00,0.00,0.00,0.001531,0.00
2026-06-01,Networking,E505-1604-58F8,0.09,0.00,0.00,-0.09,0.000000,0.00
2026-05-31,Gemini API,AEFD-7695-64FA,183.33,0.00,0.00,0.00,183.327020,183.33
2026-05-31,Cloud Run,152E-C115-5142,6.63,0.00,0.00,0.00,6.634136,6.63
2026-05-31,App Engine,F17B-412E-CB64,3.28,0.00,0.00,0.00,3.283915,3.28
2026-05-31,Cloud Build,8B5D-EF7D-EB12,2.39,0.00,0.00,0.00,2.386084,2.39
2026-05-31,Cloud Memorystore for Redis,5AF5-2C11-D467,2.35,0.00,0.00,0.00,2.351987,2.35
2026-05-31,Artifact Registry,149C-F9EC-3994,1.95,0.00,0.00,0.00,1.949637,1.95
2026-05-31,Cloud Storage,95FF-2EF5-5EA1,1.75,0.00,0.00,0.00,1.747277,1.75
2026-05-31,Secret Manager,EE82-7A5E-871C,0.18,0.00,0.00,0.00,0.184338,0.18
2026-05-31,Compute Engine,6F81-5844-456A,0.14,0.00,0.00,0.00,0.140311,0.14
2026-05-31,Networking,E505-1604-58F8,0.14,0.00,0.00,-0.14,0.000000,0.00
2026-05-30,Gemini API,AEFD-7695-64FA,146.64,0.00,0.00,0.00,146.644139,146.64
2026-05-30,Cloud Run,152E-C115-5142,6.43,0.00,0.00,0.00,6.432972,6.43
2026-05-30,Cloud Memorystore for Redis,5AF5-2C11-D467,2.35,0.00,0.00,0.00,2.351991,2.35
2026-05-30,Artifact Registry,149C-F9EC-3994,2.05,0.00,0.00,0.00,2.048434,2.05
2026-05-30,App Engine,F17B-412E-CB64,1.67,0.00,0.00,0.00,1.666241,1.67
2026-05-30,Cloud Storage,95FF-2EF5-5EA1,1.38,0.00,0.00,0.00,1.377326,1.38
2026-05-30,Cloud Build,8B5D-EF7D-EB12,0.94,0.00,0.00,0.00,0.936667,0.94
2026-05-30,Secret Manager,EE82-7A5E-871C,0.18,0.00,0.00,0.00,0.179626,0.18
2026-05-30,Compute Engine,6F81-5844-456A,0.14,0.00,0.00,0.00,0.140310,0.14
2026-05-30,Networking,E505-1604-58F8,0.14,0.00,0.00,-0.14,0.000000,0.00
2026-05-29,Gemini API,AEFD-7695-64FA,315.36,0.00,0.00,0.00,315.362435,315.36
2026-05-29,Cloud Run,152E-C115-5142,6.81,0.00,0.00,0.00,6.814319,6.81
2026-05-29,Cloud Memorystore for Redis,5AF5-2C11-D467,2.35,0.00,0.00,0.00,2.351989,2.35
2026-05-29,Cloud Build,8B5D-EF7D-EB12,2.26,0.00,0.00,0.00,2.263974,2.26
2026-05-29,Artifact Registry,149C-F9EC-3994,2.08,0.00,0.00,0.00,2.075748,2.08
2026-05-29,Cloud Storage,95FF-2EF5-5EA1,1.92,0.00,0.00,0.00,1.920332,1.92
2026-05-29,App Engine,F17B-412E-CB64,1.88,0.00,0.00,0.00,1.877066,1.88
2026-05-29,Secret Manager,EE82-7A5E-871C,0.18,0.00,0.00,0.00,0.184131,0.18
2026-05-29,Compute Engine,6F81-5844-456A,0.14,0.00,0.00,0.00,0.140312,0.14
2026-05-29,Networking,E505-1604-58F8,0.14,0.00,0.00,-0.14,0.000000,0.00
2026-05-28,Gemini API,AEFD-7695-64FA,66.12,0.00,0.00,0.00,66.118774,66.12
